participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
473,M,14,420,479.9833333,2.352514204,108.1729157,0.102329088,0.138197205,3.120903217,0.085468072,0.128191842,3.044652242,0.083165875,0.259407168,7.314264249,0.074037641,0.585639688,22.64810545,0.085370293,0.749391671,28.85588383,0.117181779,0.499674048,17.5994646,0.112931704,0.702274472,28.47187347,0.084824329,0.790296101,30.38936245,0.101944189
473,L,0,0,59.98333333,0.748544767,33.9112088,0.049198312,0.21784515,4.18716511,0.127070523,0.197830753,4.223188667,0.135140575,0.172467353,3.786482579,0.149938349,0.347647703,12.90289524,0.100100377,0.505343678,20.2025989,0.079660635,0.269157194,11.16435394,0.052372934,0.384748295,14.92024963,0.092952708,0.783673241,28.95147458,0.143055181
473,L,1,30,89.98333333,0.6768157,30.4273508,0.032777603,0.213242946,3.892056351,0.119605531,0.190853839,4.032696801,0.103575043,0.153195439,3.52797015,0.074908236,0.312294145,11.37262225,0.059001551,0.417854224,15.92872785,0.06674561,0.153678775,6.553693983,0.009362757,0.307430961,12.10893459,0.0463624,0.667486261,24.29724289,0.10739114
473,L,2,60,119.9833333,0.66655491,29.72552247,0.032734979,0.176022763,3.588095323,0.118058042,0.166089563,3.774314929,0.105175388,0.128916602,3.159436793,0.064823385,0.28216875,10.27754259,0.052898236,0.387644531,14.82541795,0.060988423,0.157667333,6.735163119,0.009119081,0.297368631,11.95456676,0.048157745,0.647888033,23.5748957,0.106693358
473,L,3,90,149.9833333,0.640075528,28.53510862,0.032038552,0.143367473,3.144427866,0.106432852,0.136340432,3.313192689,0.098232588,0.11286952,2.914412408,0.053430795,0.26345611,10.06768086,0.043737963,0.382787656,14.97048607,0.056475057,0.15031452,6.490290375,0.009063808,0.300100727,12.25013836,0.051801982,0.640779273,23.9199355,0.106298884
473,L,4,120,179.9833333,0.702370981,31.70378881,0.03527397,0.178354972,3.650721793,0.122499511,0.163450132,3.781482635,0.112518358,0.149245442,3.402956844,0.07312343,0.289339213,10.58385229,0.058948399,0.422974918,16.554337,0.061969494,0.150401378,6.382920107,0.009311016,0.319207144,12.78565948,0.059322013,0.72092336,25.92491454,0.12741708
473,L,5,150,209.9833333,0.686291399,30.98495878,0.033615772,0.152154735,3.467579706,0.121402465,0.14469485,3.6018494,0.117259772,0.124107429,3.16326043,0.062741074,0.274479372,10.08200884,0.057271314,0.38336564,15.24033908,0.080723209,0.146326399,6.233671737,0.008840541,0.319066656,12.6498873,0.052762128,0.631217371,23.10325496,0.11287749
473,L,6,180,239.9833333,0.604796538,27.39750031,0.026675134,0.091607738,2.667810095,0.104703119,0.093213027,2.771128558,0.10623383,0.064534883,2.239873531,0.029118092,0.202882546,8.110939091,0.040278402,0.340778436,13.86593593,0.070091632,0.136172773,5.748214905,0.0081355,0.283247993,11.52785888,0.035302772,0.505777353,20.18968352,0.076453067
473,L,7,210,269.9833333,0.643837237,29.25439035,0.029104228,0.09212655,2.631363695,0.077794152,0.09435157,2.708697632,0.081100023,0.067855133,2.211612989,0.025062533,0.191072017,7.558758221,0.03945322,0.408377327,16.1278357,0.058085876,0.137908419,5.876241618,0.008668466,0.281205217,11.45719432,0.033650815,0.594792362,22.39008733,0.103063339
473,L,8,240,299.9833333,0.699046831,31.92488676,0.032142461,0.133160491,3.120839491,0.112633736,0.137488397,3.261544731,0.11470032,0.089011762,2.708064787,0.035392019,0.245116281,9.431087907,0.053520058,0.455064392,17.64357578,0.070296459,0.242716629,8.924934606,0.054746679,0.305610528,12.02642734,0.044078025,0.670500568,24.49833083,0.120742489
