participant,condition,window_start,window_end,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
435,M,30,90,1.0,0.25,1.0,0.0,1600.0,0.0,1
435,M,60,120,1.0,0.5,1.0,1.0,2766.6666666666665,3.4487080000000105,2
443,L,0,60,1.0,1.0,0.2,1.0,4333.333333333333,2.810391999999993,0
443,L,30,90,1.0,1.0,0.2,1.0,1733.3333333333333,2.810391999999993,1
443,L,60,120,1.0,1.0,1.0,1.0,1640.0,3.9141970000000015,2
475,L,0,60,1.0,1.0,1.0,1.0,1850.0,2.597298000000002,0
475,L,30,90,1.0,1.0,1.0,0.5,1200.0,2.597298000000002,1
475,L,60,120,1.0,1.0,0.0,1.0,0.0,2.524805999999998,2
429,M,0,60,0.9432477216238608,1.0,0.625,0.0,3300.0,0.0,0
429,M,30,90,0.9434585224927776,1.0,1.0,0.3333333333333333,2640.0,5.00206,1
429,M,60,120,1.0,1.0,1.0,1.0,1533.3333333333333,5.211658,2
413,H,0,60,0.7844133841592545,0.3666666666666666,0.5555555555555556,1.0,4228.571428571428,3.9141016666666686,0
413,H,30,90,0.7958667229017292,0.0333333333333333,0.6,0.6666666666666666,3975.0,3.647346500000001,1
413,H,60,120,0.7877637130801688,0.5333333333333333,1.0,1.0,3342.8571428571427,4.002443999999997,2
402,L,0,60,0.9366776315789472,1.0,1.0,0.0,1550.0,0.0,0
402,L,30,90,0.9722796855606124,1.0,1.0,0.5,1600.0,3.2948669999999964,1
402,L,60,120,0.9916212819438626,1.0,1.0,1.0,1450.0,3.282223000000002,2
453,H,0,60,0.7608966376089664,0.9166666666666666,1.0,1.0,2066.6666666666665,3.7833420000000046,0
453,H,30,90,0.9116666666666666,0.6666666666666666,0.5714285714285714,0.3333333333333333,3440.0,4.744185999999999,1
453,H,60,120,0.9053030303030304,0.5,0.6666666666666666,0.6666666666666666,4857.142857142857,4.533559500000003,2
414,M,0,60,0.658753709198813,0.55,1.0,0.6666666666666666,3200.0,4.509106499999998,0
414,M,30,90,0.8313659359190556,0.6166666666666667,1.0,1.0,2920.0,3.162459999999996,1
414,M,60,120,0.9397237337798242,0.8833333333333333,1.0,0.0,3750.0,0.0,2
456,M,0,60,0.8656210258584146,0.45,1.0,1.0,3333.3333333333335,4.783440499999999,0
456,M,30,90,0.9310344827586208,0.2166666666666666,0.0,0.5,3000.0,4.743563999999999,1
456,M,60,120,0.9706621961441744,0.7166666666666667,0.0,1.0,4600.0,4.021474999999995,2
412,H,0,60,0.935929648241206,0.7666666666666667,1.0,0.5,2955.5555555555557,4.277882000000002,0
412,H,30,90,0.9622324800671422,0.7666666666666667,1.0,1.0,1800.0,3.909513500000003,1
412,H,60,120,0.9416456759026028,0.7333333333333333,0.1428571428571428,1.0,3800.0,3.8816215000000014,2
445,H,0,60,0.9722455845248108,0.9,0.6363636363636364,0.6666666666666666,2350.0,3.301063,0
445,H,30,90,0.9630252100840336,1.0,0.8888888888888888,0.3333333333333333,1500.0,3.5077169999999995,1
445,H,60,120,0.8615190935795216,1.0,0.1666666666666666,0.0,1533.3333333333333,0.0,2
473,L,0,60,1.0,1.0,1.0,1.0,6200.0,4.733339000000001,0
473,L,30,90,0.9771024146544546,1.0,1.0,1.0,6200.0,4.733339000000001,1
473,L,60,120,0.9767932489451476,1.0,1.0,1.0,1800.0,3.649164999999997,2
472,M,0,60,0.9101314116150911,1.0,1.0,1.0,3480.0,2.5884709999999984,0
472,M,30,90,0.967946014339941,1.0,1.0,0.0,3500.0,0.0,1
472,M,60,120,1.0,1.0,0.0,1.0,0.0,3.3744470000000035,2
408,L,0,60,1.0,1.0,1.0,0.5,2500.0,3.663384999999998,0
408,L,30,90,1.0,1.0,1.0,1.0,1600.0,3.663384999999998,1
408,L,60,120,1.0,1.0,1.0,0.0,2900.0,0.0,2
