participant,condition,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
460,M,0.6869455006337135,0.0,0.7142857142857143,0.0,4166.666666666667,0.0,8
460,M,0.8932203389830509,0.0,1.0,0.0,3800.0,0.0,9
460,M,0.953105196451204,0.0,1.0,0.5,3250.0,4.060477999999989,10
460,M,0.8904340497260851,0.0,0.8333333333333334,0.6666666666666666,2680.0,4.30860450000003,11
460,M,0.8495575221238938,0.0,0.7777777777777778,0.75,1971.428571428571,4.276699666666673,12
460,M,0.8567226890756302,0.0,0.8461538461538461,1.0,1981.8181818181815,4.561101000000008,13
460,M,0.9253479544495992,0.0,0.9090909090909092,1.0,2900.0,4.869080999999994,14
460,L,0.9633638634471274,0.5666666666666667,1.0,0.0,2685.714285714286,0.0,0
460,L,1.0,0.0666666666666666,1.0,0.0,1750.0,0.0,1
460,L,1.0,0.1,1.0,0.0,1760.0,0.0,2
460,L,1.0,0.6,1.0,0.0,1866.6666666666667,0.0,3
460,L,0.9513626834381552,1.0,1.0,0.0,2400.0,0.0,4
460,L,0.95132186319765,0.9166666666666666,1.0,0.0,2250.0,0.0,5
460,L,1.0,0.8833333333333333,1.0,0.0,2511.1111111111113,0.0,6
460,L,1.0,0.9666666666666668,1.0,1.0,2566.6666666666665,4.545982999999978,7
460,L,1.0,1.0,1.0,0.5,1700.0,4.545982999999978,8
460,L,1.0,1.0,1.0,0.5,1600.0,4.4405289999999695,9
460,L,1.0,1.0,0.0,0.6666666666666666,0.0,4.328013999999996,10
460,L,1.0,1.0,0.0,0.75,0.0,4.137593000000019,11
460,L,0.9415749364944962,1.0,0.0,1.0,0.0,4.152621000000029,12
460,L,0.9418457648546144,1.0,1.0,1.0,1400.0,3.9720040000000263,13
460,L,1.0,0.8333333333333334,1.0,0.0,1880.0,0.0,14
435,L,1.0,1.0,1.0,0.75,1375.0,3.5871046666666664,0
435,L,1.0,1.0,1.0,1.0,1160.0,3.124972999999997,1
435,L,1.0,1.0,1.0,0.0,1066.6666666666667,0.0,2
435,L,0.9489539748953976,1.0,1.0,0.0,1640.0,0.0,3
435,L,0.9493144993768176,1.0,1.0,0.0,1800.0,0.0,4
435,L,1.0,1.0,0.0,0.0,0.0,0.0,5
435,L,1.0,1.0,0.0,0.0,0.0,0.0,6
435,L,1.0,1.0,1.0,0.0,2700.0,0.0,7
435,L,1.0,1.0,1.0,0.0,2700.0,0.0,8
435,L,1.0,1.0,0.0,0.0,0.0,0.0,9
435,L,1.0,1.0,1.0,0.0,2200.0,0.0,10
435,L,1.0,1.0,1.0,0.0,1750.0,0.0,11
435,L,1.0,1.0,1.0,1.0,1560.0,2.948583500000012,12
435,L,0.97,1.0,1.0,0.75,1685.7142857142858,2.9732173333333285,13
435,L,0.932776617954071,1.0,1.0,1.0,1825.0,2.9014459999999644,14
442,L,1.0,1.0,1.0,0.0,2044.4444444444443,0.0,0
442,L,0.9436560934891486,1.0,1.0,0.0,1200.0,0.0,1
442,L,0.8902439024390244,1.0,1.0,0.0,1200.0,0.0,2
442,L,0.9205214465937764,1.0,1.0,0.0,2000.0,0.0,3
442,L,0.9557335581787522,1.0,1.0,0.0,1566.6666666666667,0.0,4
442,L,0.982256020278834,1.0,1.0,0.0,1133.3333333333333,0.0,5
442,L,1.0,0.9833333333333332,1.0,0.0,1400.0,0.0,6
442,L,1.0,0.8666666666666667,0.5,0.0,1666.6666666666667,0.0,7
442,L,1.0,0.8833333333333333,0.6666666666666666,0.0,1480.0,0.0,8
442,L,1.0,1.0,1.0,0.0,1500.0,0.0,9
442,L,0.9907407407407408,1.0,1.0,0.0,1688.888888888889,0.0,10
442,L,0.9907718120805368,1.0,1.0,0.0,1750.0,0.0,11
442,L,1.0,1.0,0.0,0.0,0.0,0.0,12
442,L,0.9755994951619688,1.0,0.0,0.0,0.0,0.0,13
442,L,0.9756200084068936,1.0,1.0,0.0,2133.3333333333335,0.0,14
419,H,0.7493755203996669,0.8166666666666667,0.8333333333333334,1.0,3480.0,4.1449110000000005,0
419,H,0.7655143690129113,0.95,1.0,0.0,3000.0,0.0,1
419,H,0.8314606741573034,1.0,1.0,1.0,2200.0,3.350403,2
419,H,0.853495186270406,0.7666666666666667,1.0,0.5,2563.6363636363635,3.350403,3
419,H,0.7112705783030815,0.7666666666666667,1.0,1.0,2709.090909090909,3.705010000000016,4
419,H,0.6523024926066752,1.0,1.0,1.0,2428.5714285714284,4.6132530000000145,5
419,H,0.6152876942461151,0.9666666666666668,1.0,1.0,1850.0,5.735473000000013,6
419,H,0.7068965517241379,0.9666666666666668,1.0,0.3333333333333333,1666.6666666666667,2.160790999999989,7
419,H,0.676097972972973,0.8,1.0,0.8,2280.0,4.0600934999999865,8
419,H,0.5654008438818565,0.8,1.0,1.0,3000.0,4.996588666666639,9
419,H,0.6294736842105263,0.85,1.0,1.0,2818.181818181818,2.65553349999999,10
419,H,0.7683592110784725,0.85,1.0,0.5,2175.0,2.1133700000000317,11
419,H,0.7667224080267558,0.8,1.0,1.0,1400.0,2.9252970000000005,12
419,H,0.7000418935902807,0.6666666666666666,1.0,1.0,2175.0,4.859546000000023,13
419,H,0.7291054178916422,0.8666666666666667,1.0,1.0,2440.0,3.524674000000033,14
419,M,0.7493786246893124,1.0,1.0,1.0,2644.4444444444443,3.215239000000004,0
419,M,0.943561872909699,1.0,1.0,1.0,2500.0,3.215239000000004,1
419,M,0.9271356783919598,1.0,1.0,0.0,1100.0,0.0,2
419,M,0.7973199329983249,1.0,0.875,0.0,2400.0,0.0,3
419,M,0.8701298701298701,1.0,0.9090909090909092,0.0,2460.0,0.0,4
419,M,0.8766666666666667,1.0,1.0,0.0,1900.0,0.0,5
419,M,0.7151211361737677,1.0,1.0,0.6666666666666666,3000.0,4.265104000000008,6
419,M,0.8021885521885522,1.0,1.0,0.8,4080.0,3.9873165000000057,7
419,M,0.8398486759142497,1.0,0.8333333333333334,1.0,4160.0,3.743635666666677,8
